chem. formula;LG;serial-id;ICSD;source;topological classification at Ef with SOC;topological subclassification at Ef with SOCe;topological classification at Ef without SOC;topological subclassification at Ef without SOC
As1 Br2 Se1;1;2.3.1;n.a.;https://c2db.fysik.dtu.dk/material/1AsSeBr2-1;SM;ESFD;Trivial;LCEBR
Cl3 Cu2 I2 Se1;1;2.3.10;n.a.;https://c2db.fysik.dtu.dk/material/1SeCu2I2Cl3-1;SM;ESFD;Trivial;LCEBR
Cl3 Cu1 Ga1 S2;1;2.3.11;n.a.;https://c2db.fysik.dtu.dk/material/1CuGaS2Cl3-1;SM;ESFD;Trivial;LCEBR
F1 O1 Pd1;1;2.3.12;n.a.;https://c2db.fysik.dtu.dk/material/1FOPd-1;SM;ESFD;Trivial;LCEBR
Ga1 Ge1 Se2;1;2.3.13;n.a.;https://c2db.fysik.dtu.dk/material/1GaGeSe2-1;SM;ESFD;Trivial;LCEBR
Ge1 Na1 S2;1;2.3.14;n.a.;https://c2db.fysik.dtu.dk/material/1GeNaS2-1;SM;ESFD;Trivial;LCEBR
H1 S3 Sn1;1;2.3.15;n.a.;https://c2db.fysik.dtu.dk/material/1HSnS3-1;SM;ESFD;Trivial;LCEBR
I1 Ni1 Se1 Te1;1;2.3.16;n.a.;https://c2db.fysik.dtu.dk/material/1INiSeTe-1;SM;ESFD;Trivial;LCEBR
Ir5 Se10;1;2.3.17;n.a.;https://c2db.fysik.dtu.dk/material/5IrSe2-1;SM;ESFD;Trivial;LCEBR
Ir1 Ni3 S3 Se5;1;2.3.18;n.a.;https://c2db.fysik.dtu.dk/material/1IrNi3S3Se5-1;SM;ESFD;Trivial;LCEBR
Nb1 Ni3 Se6;1;2.3.19;n.a.;https://c2db.fysik.dtu.dk/material/1NbNi3Se6-1;SM;ESFD;Trivial;LCEBR
As1 Br1 I5 Sn1;1;2.3.2;n.a.;https://c2db.fysik.dtu.dk/material/1AsBrSnI5-1;SM;ESFD;Trivial;LCEBR
Ni1 P1 S3;1;2.3.20;646140;https://c2db.fysik.dtu.dk/material/1NiPS3-1;SM;ESFD;Trivial;LCEBR
Rh5 S10;1;2.3.21;n.a.;https://c2db.fysik.dtu.dk/material/5RhS2-1;SM;ESFD;Trivial;LCEBR
Rh5 Se10;1;2.3.22;n.a.;https://c2db.fysik.dtu.dk/material/5RhSe2-1;SM;ESFD;Trivial;LCEBR
Sb1 Si1 Te4;1;2.3.23;n.a.;https://c2db.fysik.dtu.dk/material/1SbSiTe4-1;SM;ESFD;Trivial;LCEBR
As1 Cl1 I1 S1 Se1 Sn1;1;2.3.3;n.a.;https://c2db.fysik.dtu.dk/material/1AsClISSeSn-1;SM;ESFD;Trivial;LCEBR
Au1 Br2 Hf1 Se2;1;2.3.4;n.a.;https://c2db.fysik.dtu.dk/material/1AuHfBr2Se2-1;SM;ESFD;Trivial;LCEBR
Br2 Cu3 Se2;1;2.3.5;n.a.;https://c2db.fysik.dtu.dk/material/1Br2Se2Cu3-1;SM;ESFD;Trivial;LCEBR
Br5 Ge1 S1 Zr1;1;2.3.6;n.a.;https://c2db.fysik.dtu.dk/material/1GeSZrBr5-1;SM;ESFD;Trivial;LCEBR
Br1 Cu1 I1 S1;1;2.3.7;n.a.;https://c2db.fysik.dtu.dk/material/1BrCuIS-1;SM;ESFD;Trivial;LCEBR
