chem. formula;LG;serial-id;ICSD;source;indirect gap with SOC (eV);direct gap with SOC (eV);topological classification at Ef with SOC;topological subclassification at Ef with SOCe;topological classification at Ef without SOC;topological subclassification at Ef without SOC;experimental;comput. exfoliable; comput. dynamically stable; comput. thermodynamically stable;twistable semimetal;twistable insulator
Mo2 S4;15;1.1.1;n.a.;https://c2db.fysik.dtu.dk/material/2MoS2-1;0.0484;0.051;TI;NLC;SM;ES;Yes;n.a.;Yes;Yes;Yes;No
Bi2;72;1.1.10;n.a.;https://www.materialscloud.org/discover/mc2d/details/Bi;0.5295;0.559;TI;SEBR;Trivial;OAI;Yes;Yes;n.a.;n.a.;No;Yes
Ge2;72;1.1.15;192507;https://c2db.fysik.dtu.dk/material/2Ge-1;0.0242;0.0242;TI;SEBR;SM;ESFD;Yes;n.a.;Yes;No;Yes;No
Sn2;72;1.1.17;n.a.;https://c2db.fysik.dtu.dk/material/2Sn-1;0.0739;0.0739;TI;SEBR;SM;ESFD;Yes;n.a.;No;No;Yes;No
W2 Se4;15;1.1.5;n.a.;https://c2db.fysik.dtu.dk/material/2WSe2-1;0.0269;0.1118;TI;NLC;SM;ES;Yes;n.a.;Yes;Yes;No;No
Hf2 Te10;46;1.1.7;n.a.;https://c2db.fysik.dtu.dk/material/2HfTe5-1;0.1152;0.2918;TI;SEBR;SM;ES;Yes;n.a.;Yes;Yes;No;No
Bi2;72;1.1.9;n.a.;https://c2db.fysik.dtu.dk/material/2Bi-1;0.4876;0.5386;TI;SEBR;Trivial;OAI;Yes;n.a.;No;Yes;No;Yes
Br2 Hf2;72;1.2.104;n.a.;https://www.materialscloud.org/discover/mc2d/details/Hf2Br2;0.0562;0.2299;TI;SEBR;SM;ESFD;n.a.;Yes;n.a.;n.a.;Yes;No
Hg2 Pt4 Se6;72;1.2.121;n.a.;https://www.materialscloud.org/discover/mc2d/details/Pt2HgSe3;0.1344;0.1718;TI;SEBR;SM;ESFD;n.a.;Yes;n.a.;n.a.;Yes;No
Ir2 Nb2 Te8;15;1.2.13;n.a.;https://www.materialscloud.org/discover/mc2d/details/NbIrTe4;0.0303;0.0303;TI;NLC;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
